вес;упругость
480;153.3
510;162.3
411;112.9
449;124.5
453;124.2
331;74.1
503;148.5
386;105.8
486;139.4
419;105.3
344;86.8
392;82.7
340;85.1
440;128.5
351;89.0
468;128.9
474;132.5
418;109.3
421;118.0
465;140.9
593;187.4
522;154.5
437;121.8
458;121.7
394;112.1
541;146.8
441;140.8
397;108.6
458;128.0
422;122.9
421;115.1
576;166.4
446;144.0
597;147.3
514;161.8
376;112.8
371;91.9
480;114.0
429;112.9
481;135.2
576;170.1
431;125.0
423;130.8
544;169.6
448;137.7
382;98.1
430;95.3
434;118.6
464;131.3
591;178.5
434;110.5
436;116.7
447;106.2
501;130.4
352;84.9
377;96.1
353;98.0
382;113.9
475;132.0
408;109.0
340;93.5
437;118.4
388;105.6
517;151.1
453;131.2
453;126.4
438;131.4
453;138.2
451;128.6
458;104.7
437;129.4
461;134.9
493;151.2
460;124.5
479;138.7
457;127.7
465;114.8
390;91.4
454;131.1
464;143.2
448;125.0
510;129.4
403;123.9
514;153.6
482;136.4
320;64.5
545;145.3
542;146.1
418;118.4
496;143.1
440;126.7
463;136.7
504;143.8
