"Cocoa
Percent",Rating
70,3
60,2.5
70,4
70,5
70,3.25
70,3.5
68,3.5
70,4
65,3.25
72,3.25
90,2.75
64,3
75,3
70,3.25
64,3.5
70,3.5
55,3
72,3
70,2.5
70,3.5
70,2.5
80,2.5
80,3
70,3.25
67,3.25
70,3.25
72,3
70,4
70,3.5
77,2.75
65,3.5
70,3.75
79,3
58,3.5
70,3.25
85,2.5
72,2.75
65,3.5
70,3
70,2.75
72,3.75
70,3.5
56,3.25
66,3.5
68,3.25
75,3
80,3.5
72,3
70,2.75
70,3.5
70,3.25
70,3.75
70,3.5
81,2.75
70,2.75
70,3.5
100,2
70,3.25
76,3
70,3.5
75,4
77,3.5
70,3.5
75,2.75
55,2.75
75,3.25
67,3.5
70,3
68,3.75
73,3.5
72,3
70,3.75
70,3.5
72,2.75
65,3.5
70,3.5
70,3.5
70,3.25
70,3.25
70,2.75
77,3.25
70,3
70,3.25
68,3
70,2.75
68,3.25
64,3.75
68,3
64,3.25
90,2
70,3.5
70,3.25
