MajorAxisLength,MinorAxisLength
442.2460114,253.291155
449.4545811,232.3255064
354.1769124,252.529208
429.770355,265.6902361
397.094114,307.2739224
317.6167119,183.3152147
348.5579747,246.4762569
451.5261542,280.2261534
328.6476055,202.5088754
319.0720226,217.6957013
424.2783146,245.5074738
393.716176,265.8146124
354.9636669,254.4527709
355.310549,270.7408973
281.4314214,224.4858963
290.5883604,203.3191422
336.312888,222.6097658
301.845898,228.5166995
350.4871954,216.6793239
373.9240984,233.2332051
384.9699031,289.4539006
333.7476396,243.540245
343.7885277,177.1367946
371.3536275,226.9099341
283.5042387,242.1139544
323.8592139,175.1857446
259.8962651,225.6562198
296.8792842,212.0277194
452.7756953,245.2199818
349.1971378,251.6796378
381.2139503,218.2168451
314.4309771,236.183035
359.3755027,161.7023657
317.1723252,222.7534529
352.5027525,194.9811366
418.5556402,274.9231996
412.7569409,275.2848499
285.4020871,220.8199013
365.8369921,307.9116981
245.7557814,143.7108718
330.7474868,200.9579393
350.0425817,189.765438
344.9801825,215.4342255
251.7422462,178.341115
375.2796881,205.4140518
325.1886359,231.9557989
487.1782819,251.960243
323.5892546,180.0697373
613.8737446,328.3133366
374.7201638,324.3025616
424.472024,223.232633
575.6823646,316.6212427
451.0060488,235.1597735
518.7876139,275.2605054
532.7314252,322.6830027
483.3400048,315.2484647
437.734856,245.4242627
493.7652445,308.0001269
690.0719941,311.9956922
523.1863795,309.11683
525.9453568,304.1564686
551.4538281,316.469824
480.629674,314.026534
431.0085748,218.7157773
731.5618761,299.4134054
486.5210676,323.3517303
648.904219,339.1311299
546.6727559,248.5279077
435.3879154,224.7276306
452.9245926,254.4821926
820.724022,352.1936798
616.9944003,267.9807338
471.1246639,238.3286787
450.4081356,276.9226152
462.5059292,277.6991108
327.2878204,212.2310886
560.0071356,259.3973494
394.4426146,255.2544409
473.9659934,207.7369888
450.480907,233.6080557
490.4095974,277.084224
694.2475503,411.810369
499.2377543,224.4723887
491.1120737,293.9110068
609.6301806,306.6080357
457.4774879,277.3867797
445.2461201,217.6202412
549.8652777,308.392291
468.6679004,279.8129101
500.9313423,286.2523864
511.4720359,291.5913488
512.0817743,215.2719758

