temp,wind
14.6,1.3
24.1,3.1
19.3,4
22.9,5.4
18.3,2.7
23.7,5.8
22.8,3.6
17.7,3.6
17.8,4
16.6,5.4
23,3.1
21.5,2.2
17.8,4.9
11.5,5.8
18.6,4.5
17.2,4.5
27.6,1.3
14.7,2.7
16.6,0.9
22.4,2.2
20.8,6.3
12.7,1.8
14.4,5.4
12.7,6.3
13.7,5.8
15.8,7.6
19.6,3.1
17.9,3.1
15.9,3.6
10.6,4.9
15.6,3.1
23.3,4.5
13.2,5.4
23.2,5.4
16.4,1.3
19,5.8
17.8,2.2
14.6,9.4
17.7,2.2
19.2,2.7
12.4,2.2
11.5,5.8
24.2,2.7
23.5,5.4
21.6,2.2
15.1,4
23.2,4.9
11,5.8
19.4,1.3
11,5.8
20.1,4.5
27.8,3.1
18.2,1.8
15.2,2.7
26.8,6.3
21.7,0.4
18.9,3.1
20.6,0.9
19.3,3.6
23.7,3.1
20.2,4
4.6,8.5
5.1,8.5
23.4,6.3
18.7,1.8
17.1,3.6
10.6,2.7
19.2,4.5
16,1.8
12.2,6.3
19.2,4.9
16.8,4
24.1,3.1
24.2,3.1
9.8,1.8
20.4,1.8
12.2,4.9
17.4,4.5
20.6,3.6
15.9,3.6
17.3,4
15.9,5.4
13.8,7.6
15.4,4.9
5.2,0.9
21.3,4.5
23.3,3.1
15.2,7.6
24.3,3.6
25,4
17,4.9
8.2,9.4
27.5,4.9
26.2,4.5
26.9,3.6
24.6,4
20.9,4.9
23.6,4
10.9,3.1
8.9,8
11.8,4.9
16.6,2.7
18.9,4.9
4.6,0.9
13.7,9.4
26.4,2.7
18.2,4.5
31,5.4
26.4,3.6
32.4,2.2
32.6,3.1
21.6,4.9
26.7,1.8
18.2,5.4
21.2,6.7
