rating,gross_earn
9.0,$377.85M
7.8,$936.66M
7.2,$117.72M
7.2,$144.84M
8.4,$0.28M
7.3,$121.25M
6.9,$117.15M
6.8,$94.84M
6.8,$169.11M
7.8,$50.93M
7.3,$146.28M
6.6,$119.22M
7.7,$3.15M
6.2,$23.02M
7.9,$36.95M
5.4,$136.31M
6.6,$101.11M
7.5,$71.50M
7.2,$39.02M
5.6,$34.30M
6.3,$81.70M
5.8,$98.78M
6.8,$16.03M
7.5,$0.22M
7.6,$40.46M
7.3,$24.15M
7.7,$75.33M
8.5,$0.02M
6.3,$51.86M
8.0,$0.50M
7.2,$32.22M
7.3,$87.40M
6.2,$37.90M
7.2,$39.85M
6.7,$16.12M
6.6,$43.31M
6.9,$84.05M
7.0,$37.56M
6.8,$85.34M
7.1,$0.02M
7.4,$48.09M
7.2,$14.56M
5.9,$78.22M
8.0,$22.24M
6.3,$30.66M
7.1,$5.31M
5.5,$49.32M
6.9,$3.95M
5.4,$15.63M
7.7,$0.37M
7.0,$57.79M
6.2,$24.98M
7.1,$38.75M
6.0,$33.68M
6.9,$27.81M
7.8,$5.13M
7.1,$51.43M
5.5,$17.32M
6.8,$26.33M
7.5,$9.49M
7.7,$35.81M
4.8,$0.48M
7.7,$1.44M
6.7,$10.11M
5.2,$81.02M
6.4,$26.20M
6.9,$0.12M
6.1,$16.67M
6.5,$0.08M
5.6,$20.29M
4.3,$28.41M
6.4,$0.14M
6.1,$30.06M
7,$11.80M
9,$1.12M
6,$12.21M
5.5,$47.81M
6.6,$41.46M
6.5,$38.80M
3.8,$0.12M
7.1,$10.60M
5.7,$55.46M
5.9,$3.99M
6.2,$0.10M
7.0,$0.70M
4.2,$10.43M
7.1,$31.90M
5.5,$24.05M
6.9,$0.70M
5.8,$31.05M
7.0,$5.53M
5.6,$45.25M
6.3,$10.28M
5.7,$10.02M
3.4,$3.79M
6.1,$30.04M
5.5,$12.53M
6.4,$6.74M
7.0,$0.38M
7.3,$6.46M
7.5,$4.57M
5.2,$19.72M
6.7,$3.17M
5.9,$5.76M
7.5,$0.96M
7.4,$0.60M
5.1,$20.02M
7.0,$4.76M
7.3,$40.38M
